episode,season,scene_id,location,scene_text,dominant_emotion,emotion_scores
S01E01,1,S01E01_SCENE_19,In a Car - Wesley on the phone,"James Wesley: DNA evidence will put Rance at the murder scene. B and E gone sideways, his records altered in support. Mr. Farnum's bail has been arranged for through the usual channels. Leland's to cover our exposure on the financials and McClintock takes the fall for Union Allied. Man On Phone: We can't have McClintock speaking to the authorities. James Wesley: Pills. He overdosed less than an hour ago. The remaining concerns will be attended to shortly. Man On Phone: Rance was a professional. How was he subdued? James Wesley: I'm looking into it. What about the girl? Should I make the appropriate arrangements for her, along with the others? Man On Phone: No. Everything she knows is already in the papers. Her lawyers, Nelson and Murdock. James Wesley: Ambulance chasers. They're clean. Man On Phone: Start a file. They may be of use. James Wesley: Understood.",neutral,"{""neutral"": 0.7782710790634155}"
S01E01,1,S01E01_SCENE_2,Confessional Booth - Now,"Matt Murdock: Bless me, Father, for I have sinned. It's been, it's been too long since my last confession. My dad, he used to come to this church back when I was a kid. He was a fighter. Old school. Boxer. Lost more than he won. Had a 24-31 record before he, uh... But he could take a punch. Jesus, he could take a punch. Father Lantom: Language. Matt Murdock: Sorry, Father. Yeah, guys he went up against used to say it was like hitting oak. And nights when he was outmatched, my dad's strategy was to let 'em hit him till they broke their hands. He never got knocked out, my dad. Knocked down, sure. But he always got back up. He was always on his feet when he lost. Every now and then, though, every now and then, he'd get hit and something inside of him would snap. My grandmother, she was the real Catholic. Fear of God ran deep. You'd have liked her. She used to say, ""Be careful of the Murdock boys. They got the devil in 'em."" And you'd see it sometimes in the ring. His eyes would go dead and he'd start walking forward real slow, hands at his sides, like he wasn't afraid of anything. And the other guy, he'd see that look, and he'd try to get away from him. Nah. My dad, he'd catch him and trap him in the corner. Let the devil out. Yeah. Now, I didn't understand it, you know? What he was feeling deep inside, I didn't understand it. Not back then. Father Lantom: But you understand it now? Perhaps this would be easier if you tell me what you've done. Matt Murdock: I'm not seeking penance for what I've done, Father. I'm asking forgiveness for what I'm about to do. Father Lantom: That's not how this works. What exactly are you going to do?",sadness,"{""disgust"": 0.2882722318172455}"
S01E01,1,S01E01_SCENE_20,Nelson & Murdock Office,"Karen Page: Here you go. So I know it's not much in the way of repayment. But it is, um, my grandmother's recipe, and she made me promise only to serve it to my future husband. You know, it's, like, filled with virtue or something. Matt Murdock: I thought I detected a whiff of virtue in there. Foggy Nelson: Not that I'm complaining, but you really should be thanking the nut in the mask. Karen Page: He's not a nut. I mean, he's a little weird, maybe — Matt Murdock: We're just glad you're okay. Foggy Nelson: Hear, hear! Karen Page: Well, if it weren't for you two, I'd still be in that cell. Matt Murdock: Job's easy when your client's innocent. All you did was tell the truth. Karen Page: Yeah, but you listened. Foggy Nelson: Oh, and don't get us wrong, we're still gonna bill you. Just as soon as we figure out how to make bills. Karen Page: I did notice that you could use some help around here. And I owe you. Maybe I could clean the place up a bit. Matt Murdock: Is this place messy? Foggy Nelson: Our firm is very prestigious and discerning, Miss Page. Do you have any prior experience hiding electrical cords up in ceiling tiles? Karen Page: Uh, no, but I'll work for free. Matt Murdock: Yeah, you're hired. Foggy Nelson: You just got hired!",neutral,"{""neutral"": 0.5412241816520691}"
S01E01,1,S01E01_SCENE_21,The Streets - Outside,"Man: Hey, come on. The Kid: Ahh! Daddy! Daddy! The Kid: Daddy! Help! Daddy!",joy,"{""joy"": 0.5481666326522827}"
S01E01,1,S01E01_SCENE_22,Gym,Matt Murdock: You can leave the lights off.,neutral,"{""neutral"": 0.9163721203804016}"
S01E01,1,S01E01_SCENE_3,The Docks,"Girls: Help! Help! Help me! Help! Help me! Turk Barrett: Hey! Hey! Man, shut up. I'm getting $1,000 a head for y'all. So, you be quiet, I let you have a bucket. You don't — Russian Man: No! Girl: No. Please, no. Turk Barrett: Scream all you want. Come on, let me hear you scream. Scream loud. Girl: It's okay. Turk Barrett: Nobody gives a shit down here.",fear,"{""fear"": 0.5421085357666016}"
S01E01,1,S01E01_SCENE_4,Matt's Apartment,"Automated Female Voice: Foggy, Foggy, Foggy. Matt Murdock: Yeah, yeah. Automated Female Voice: Foggy. Matt Murdock: Hello. Foggy Nelson: Good morning, sunshine! Matt Murdock: What time is it? Foggy Nelson: Half past get the hell up. Let's go. We gotta meet the real estate agent in 45. Foggy Nelson: What was that? Was that a moan? Do you have somebody in bed with you? The paralegal? Is it the para over at — never mind, I don't wanna hear about it. No, I do wanna hear about it! What was she like? Matt Murdock: Violent. Foggy Nelson: I gotta get the blind thing going. It's so unfair. Oh, hey! Real estate agent, not your type. Very homely. Might be genetic. No need to be charming. And she kinda told me she thinks blind people are ""God's mistake."" Matt Murdock: That's a horrible thing to say, Foggy. Foggy Nelson: I know! In this day and age? All right, shake it. I gotta go bribe a cop. Matt Murdock: Ah, Foggy. Foggy Nelson: Kidding, NSA, if you're listening. But seriously, yeah, I gotta go bribe a cop.",fear,"{""fear"": 0.47591397166252136}"
S01E01,1,S01E01_SCENE_5,Street - Subway Station Entrance,"Sgt. Brett Mahoney: Defense attorney. We're supposed to be enemies. Foggy Nelson: First off, we've been enemies since we were four, Brett, so let's not blame it on career choices. Secondly, I'm not a particularly good defense attorney, so helping me is like helping yourself. And finally, these are for Bess. Sgt. Brett Mahoney: Please stop giving my mom cigars, Foggy. Foggy Nelson: What? She'll outlive us all. Look, I'm not asking you to do anything immoral. Just give me a heads up if something, you know, interesting walks through the door. You're right. It ain't the careers. Foggy Nelson: Thanks, buddy!",anger,"{""anger"": 0.6050333976745605}"
S01E01,1,S01E01_SCENE_6,Office - Nelson & Murdock,"Susan Harris: You've got a reception area, a conference room and two offices. Corner suite has a view of the Hudson. You can flip a coin with your partner for it. Matt Murdock: Uh, he can have the view. Susan Harris: I'm so sorry. I didn't mean to — Matt Murdock: Of course not. Susan Harris: Susan Harris. Midtown Property Solutions. Matt Murdock: Matt Murdock. Foggy Nelson: She just curtsied. It was adorable. Matt Murdock: Well, it's nice to know chivalry isn't dead. Susan, would you mind walking me around the space? Susan Harris: Of course. My pleasure. As I was telling your associate, this office was barely touched by the incident, which is why it's on the market already. The neighbors weren't so lucky. Matt Murdock: ""The incident""? Is that what we're calling it now? Susan Harris: Well, it sounds so much better than ""death and destruction raining from the sky, nearly wiping Hell's Kitchen off the map."" Matt Murdock: Shorter, too. Foggy Nelson: Owner figuring in the delightful view of cranes and scaffolding? Feels like we're getting pre-incident prices. Susan Harris: They're a quarter of what they used to be. Hell's Kitchen's on the rebound, Mr. Nelson, and in 18 months, you won't be able to rent a broom closet at this price point. Matt Murdock: We'll take it. Foggy Nelson: We will talk about it. Because we're not sure we can afford even this palace, unless we make some changes to our current clientele policies. Matt Murdock: My partner and I are having some disagreements over the direction of Nelson and Murdock. I believe we're here to defend the innocent. Foggy Nelson: And I believe the innocent includes everyone not yet convicted of a crime. You know, as the law states. Matt Murdock: He tends to use fancy terminology. Foggy Nelson: And my partner fails to recognize that, as defense attorneys, we're never gonna be able to keep the lights on, waiting on a horde of innocent souls to stumble into our loving arms. Matt Murdock: At this point, I'd settle for just one.",neutral,"{""neutral"": 0.6187998950481415}"
S01E01,1,S01E01_SCENE_7,Karen's Apartment,"Cop: Drop the knife! Karen Page: No, no, I didn't — Cop: Drop it! Karen Page: I didn't do this! I didn't — I didn't do this! Cop: Get on the ground! Karen Page: I didn't do this! Cop: Now! Karen Page: Oh, God! Oh, God! No, I didn't do this. Oh, God! I didn't do this! Oh, no! I didn't do this!",neutral,"{""surprise"": 0.3729885220527649}"
S01E01,1,S01E01_SCENE_8,Nelson & Murdock Office - phone call,"Foggy Nelson: Hey, buddy. Sgt. Brett Mahoney: Homicide. Female suspect found at the scene. Definitely qualifies as interesting. Foggy Nelson: She's been charged yet? Sgt. Brett Mahoney: Assistant DA hasn't made the call yet. Foggy Nelson: Do you have a name on the suspect? Sgt. Brett Mahoney: Yeah. Page. Karen Page.",neutral,"{""neutral"": 0.816958487033844}"
